,product_name,listing_manufacturer,listing_title
5942,Nikon_Coolpix_300,Nikon,Nikon CoolPix P 300 black
5943,Canon_EOS_7D,Canon,"22 Piece All Inclusive Kit with Canon EOS 7D 18 MP Digital SLR Camera Body + Sigma 28-300mm f/3.5-6.3 DG IF Macro Aspherical Lens + Rokinon 500mm Lens with 2x Converter (=1000mm) + 8 GB Memory Card + Multi-Coated 3 Piece Filter Kit + Premier Holster Case + 50"" Tripod + 6 Piece Camera Accessory Kit + 3 Year Celltime Warranty Repair Contract"
5944,Sony_Alpha_DSLR-A580,Sony,Sony Alpha A580 16.2MP HD DSLR Camera (Body Only) with Sony SAL552002 Telephoto Zoom Lens and SAL35F18 Wide Angle Lens
5945,Sony_Alpha_DSLR-A580,Sony,Sony Alpha A580 16.2MP HD DSLR Camera (Body Only) with Sony SAL75300 Zoom Lens and SAL30M28 30mm Lens
5946,Sony_Alpha_DSLR-A580,Sony,Sony Alpha A580 16.2MP HD DSLR Camera (Body Only) with Sony SAL75300 Zoom Lens and SAL85F28 Telephoto Lens
5947,Sony_Alpha_DSLR-A580,Sony,Sony Alpha A580 16.2MP HD DSLR Camera (Body Only) with Sony SAL552002 Telephoto Zoom Lens and SAL50F18 50mm Lens + 8GB Accessory Kit
5948,Sony_Alpha_DSLR-A580,Sony,Sony Alpha A580 16.2MP HD DSLR Camera (Body Only) with Sony SAL552002 55-200mm f/4-5.6 SAM DT Telephoto Zoom Lens + Accessory Kit
5949,Sony_Alpha_DSLR-A580,Sony,Sony Alpha A580 16.2MP HD DSLR Camera (Body Only) with Sony SAL75300 75-300mm f/4.5-5.6 Compact Super Telephoto Zoom Lens + Accessory Kit
5950,Sony_Alpha_DSLR-A580,Sony,Sony Alpha A580 16.2MP HD DSLR Camera (Body Only) with Sony SAL552002 Telephoto Zoom Lens and SAL30M28 30mm Lens
5951,Sony_Alpha_DSLR-A580,Sony,Sony Alpha A580 16.2MP HD DSLR Camera (Body Only) with Sony SAL552002 Telephoto Zoom Lens and SAL85F28 Telephoto Lens
5952,Sony_Alpha_DSLR-A580,Sony,Sony Alpha A580 16.2MP HD DSLR Camera (Body Only) with Sony SAL75300 Zoom Lens and SAL35F18 Wide Angle Lens
5953,Sony_Alpha_DSLR-A580,Sony,Sony Alpha A580 16.2MP HD DSLR Camera (Body Only) with Sony SAL75300 Zoom Lens and SAL50F18 50mm Lens + Accessory Kit
5954,Sony_SLT-A55,Sony,"Sony SLT-55V Translucent Mirror a55 DSLR Camera, with Sony DT 55 - 200mm f/4-5.6 Telephoto Zoom Lens for (alpha) DSLR Camera"
5955,Sony_SLT-A55,Sony,"Sony SLT-55VL Translucent Mirror a55 DSLR Camera,with 18-55mm DT Zoom Lens & Sony DT 55 - 200mm f/4-5.6 Telephoto Zoom Lens for (alpha) DSLR Camera"
5956,Sony_Alpha_DSLR-A290,Sony,"Sony Alpha A290 DSLR Camera Kit, with 18-55mm Lens, & Sony DT 55 - 200mm f/4-5.6Lens"
5957,Sony_Alpha_DSLR-A290,Sony,"Sony Alpha A290 DSLR Camera / Lens Kit, with 18-55mm Lens, 4 GB SD Memory Card, Camera System Bag"
5958,Sony_Alpha_DSLR-A290,Sony,"Sony Alpha A290 DSLR Camera Kit, with 18-55mm Lens, & Sony 75-300mm f/4.5-5.6 a (alpha) Mount Digital SLR Lens"
5959,Canon_EOS_500D,Canon,Canon EOS Rebel T1i 500D 15.1 MP Digital SLR Camera with Canon EF-S 18-55mm IS Lens + 16 GB Memory Card + Multi-Coated UV Filter + Multi-Coated Polarizer Filter + Corel MediaOne Plus Software + 11 Piece Accessory Kit + Camera Holster Case + 3 Year Warranty Repair Contract
5960,Canon_EOS_500D,Canon,"Canon EOS Rebel T1i 500D 15.1 MP Digital SLR Camera with Canon EF-S 18-55mm IS Lens + Canon 75-300mm f/4-5.6 Telephoto Zoom Lens + .42x Wide Angle Lens with Macro + +1, +2, +4, +10 4 Piece Macro Close Up Kit + 16 GB Memory Card + Multi-Coated UV Filter (2) + Multi-Coated Polarizer Filter + Digital Slave Flash + 50"" Titanium Anodized Tripod + Deluxe Camera Bag + 6 Piece Accessory Kit + 3 Year Warranty Repair Contract"
5961,Canon_EOS_500D,Canon,"Canon EOS Rebel T1i 500D 15.1 MP Digital SLR Camera with Canon EF-S 18-55mm f/3.5-5.6 IS SLR Lens + Tamron 75-300 f/4-5.6 LD Lens + .42x Wide Angle Lens with Macro + +1, +2, +4, +10 4 Piece Macro Close Up Kit + 16 GB Memory Card + Multi-Coated UV Filter (2) + Multi-Coated Polarizer Filter + Digital Slave Flash + 50 "" Tripod + Deluxe Padded Camera Bag + 6 Piece Accessory Kit + 3 Year Warranty Repair Contract"
5962,Canon_EOS_500D,Canon,"Canon EOS Rebel T1i 500D 15.1 MP Digital SLR Camera with Canon EF-S 18-55mm f/3.5-5.6 IS SLR Lens + Tamron 75-300 f/4-5.6 LD Lens + 16 GB Memory Card + Multi-Coated UV Filter (2) + Multi-Coated Polarizer Filter + Digital Slave Flash + 50"" Tripod + Deluxe Padded Camera Bag + 6 Piece Accessory Kit + 3 Year Warranty Repair Contract"
5963,Canon_EOS_500D,Canon,"20 Piece All Purpose Kit with Canon EOS Rebel T1i 500D 15.1 MP Digital SLR Camera (Black Body) + Sigma 28-300mm f/3.5-6.3 DG IF Macro Aspherical Lens + 8 GB Memory Card + Multi-Coated 3 Piece Filter Kit + Premier Holster Case + 50"" Tripod + 6 Piece Camera Accessory Kit + 3 Year Celltime Warranty Repair Contract"
5964,Pentax-WG-1-GPS,Pentax,Optio WG-1 14MP 5X Gps-green
5965,Olympus-XZ-1,Olympus,Olympus - Caisson étanche pour XZ-1
5966,Leica_Digilux_Zoom,Leica,Leica Digilux 1 3.9MP Digital Camera w/ 3x Optical Zoom
